benchmark,strategy,edges,sa_cost,router_cost,db_1,db_2,db_3,db_4,da_1,da_2,da_3,da_4
arf,given,40,44,0,36,4,0,0,36,4,0,0
arf,g_l,40,44,0,36,4,0,0,36,4,0,0
arf,l_g,40,44,0,36,4,0,0,36,4,0,0
arf,random,40,44,0,36,4,0,0,36,4,0,0
atax,given,15,16,0,14,1,0,0,14,1,0,0
atax,g_l,15,16,0,14,1,0,0,14,1,0,0
atax,l_g,15,16,0,14,1,0,0,14,1,0,0
atax,random,15,16,0,14,1,0,0,14,1,0,0
collapse_pyr,given,95,115,0,81,10,3,0,81,10,3,0
collapse_pyr,g_l,95,115,0,81,10,3,0,81,10,3,0
collapse_pyr,l_g,95,115,0,81,10,3,0,81,10,3,0
collapse_pyr,random,95,115,0,81,10,3,0,81,10,3,0
conv3,given,26,28,0,24,2,0,0,24,2,0,0
conv3,g_l,26,28,0,24,2,0,0,24,2,0,0
conv3,l_g,26,28,0,25,0,1,0,25,0,1,0
conv3,random,26,28,0,24,2,0,0,24,2,0,0
cosine1,given,76,96,4,64,4,8,0,64,4,6,0
cosine1,g_l,76,98,2,56,18,2,0,56,17,2,1
cosine1,l_g,76,96,4,64,4,8,0,64,4,6,0
cosine1,random,76,96,4,64,4,8,0,64,4,6,0
ewf,given,60,68,0,52,8,0,0,52,8,0,0
ewf,g_l,60,68,0,52,8,0,0,52,8,0,0
ewf,l_g,60,68,0,52,8,0,0,52,8,0,0
ewf,random,60,68,0,52,8,0,0,52,8,0,0
h2v2_smooth,given,67,69,0,66,0,1,0,66,0,1,0
h2v2_smooth,g_l,67,69,0,66,0,1,0,66,0,1,0
h2v2_smooth,l_g,67,69,0,66,0,1,0,66,0,1,0
h2v2_smooth,random,67,69,0,66,0,1,0,66,0,1,0
